web-scraper-order,web-scraper-start-url,venue,venue-href,tabs,tabs-href,Pos,Num,Driver,Car,Time,Gap,Laps
"1601159265-2000","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Spain","https://www.formula1.com/en/results.html/2020/races/1050/spain/practice-1.html","Practice 3","https://www.formula1.com/en/results.html/2020/races/1050/spain/practice-3.html","16","26","Daniil
                    Kvyat
                    KVY","AlphaTauri Honda","1:18.852","+1.630s","15"
"1601159336-2387","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Great Britain","https://www.formula1.com/en/results.html/2020/races/1048/great-britain/practice-1.html","Fastest laps","https://www.formula1.com/en/results.html/2020/races/1048/great-britain/fastest-laps.html","5","3","Daniel
                    Ricciardo
                    RIC","Renault","1:29.482","null","null"
"1601159336-2389","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Great Britain","https://www.formula1.com/en/results.html/2020/races/1048/great-britain/practice-1.html","Fastest laps","https://www.formula1.com/en/results.html/2020/races/1048/great-britain/fastest-laps.html","7","10","Pierre
                    Gasly
                    GAS","AlphaTauri Honda","1:29.603","null","null"
"1601159379-2625","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Styria","https://www.formula1.com/en/results.html/2020/races/1046/austria/practice-1.html","Qualifying","https://www.formula1.com/en/results.html/2020/races/1046/austria/qualifying.html","20","8","Romain
                    Grosjean
                    GRO","Haas Ferrari","null","null","1"
"1601159392-2691","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Styria","https://www.formula1.com/en/results.html/2020/races/1046/austria/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1046/austria/race-result.html","7","18","Lance
                    Stroll
                    STR","Racing Point BWT Mercedes","null","null","71"
"1601159276-2069","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Spain","https://www.formula1.com/en/results.html/2020/races/1050/spain/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1050/spain/pit-stop-summary.html","null","18","Lance
                    Stroll
                    STR","Racing Point BWT Mercedes","22.388","null","null"
"1601159301-2190","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","70th Anniversary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-1.html","Starting grid","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/starting-grid.html","11","5","Sebastian
                    Vettel
                    VET","Ferrari","1:27.078","null","null"
"1601159219-1781","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Italy","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1052/italy/pit-stop-summary.html","null","63","George
                    Russell
                    RUS","Williams Mercedes","25:27.938","null","null"
"1601159265-1987","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Spain","https://www.formula1.com/en/results.html/2020/races/1050/spain/practice-1.html","Practice 3","https://www.formula1.com/en/results.html/2020/races/1050/spain/practice-3.html","3","33","Max
                    Verstappen
                    VER","Red Bull Racing Honda","1:17.737","+0.515s","10"
"1601159276-2071","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Spain","https://www.formula1.com/en/results.html/2020/races/1050/spain/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1050/spain/pit-stop-summary.html","null","4","Lando
                    Norris
                    NOR","McLaren Renault","21.761","null","null"
"1601159182-1505","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Tuscany","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-1.html","Practice 3","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-3.html","1","77","Valtteri
                    Bottas
                    BOT","Mercedes","1:16.530","","17"
"1601159226-1813","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Italy","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1052/italy/race-result.html","8","31","Esteban
                    Ocon
                    OCO","Renault","null","null","53"
"1601159171-1484","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Russia","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-1.html","Starting grid","https://www.formula1.com/en/results.html/2020/races/1054/russia/starting-grid.html","20","7","Kimi
                    Räikkönen
                    RAI","Alfa Romeo Racing Ferrari","1:35.267","null","null"
"1601159219-1771","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Italy","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1052/italy/pit-stop-summary.html","null","99","Antonio
                    Giovinazzi
                    GIO","Alfa Romeo Racing Ferrari","25:21.825","null","null"
"1601159239-1885","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Qualifying","https://www.formula1.com/en/results.html/2020/races/1051/belgium/qualifying.html","20","20","Kevin
                    Magnussen
                    MAG","Haas Ferrari","null","null","8"
"1601159182-1514","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Tuscany","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-1.html","Practice 3","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-3.html","10","8","Romain
                    Grosjean
                    GRO","Haas Ferrari","1:17.635","+1.105s","19"
"1601159283-2118","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Spain","https://www.formula1.com/en/results.html/2020/races/1050/spain/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1050/spain/race-result.html","19","8","Romain
                    Grosjean
                    GRO","Haas Ferrari","null","null","64"
"1601159283-2119","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Spain","https://www.formula1.com/en/results.html/2020/races/1050/spain/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1050/spain/race-result.html","NC","16","Charles
                    Leclerc
                    LEC","Ferrari","null","null","38"
"1601159308-2252","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","70th Anniversary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-1.html","Fastest laps","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/fastest-laps.html","12","26","Daniil
                    Kvyat
                    KVY","AlphaTauri Honda","1:30.738","null","null"
"1601159385-2651","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Styria","https://www.formula1.com/en/results.html/2020/races/1046/austria/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1046/austria/pit-stop-summary.html","null","6","Nicholas
                    Latifi
                    LAT","Williams Mercedes","22.745","null","null"
"1601159340-2416","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Great Britain","https://www.formula1.com/en/results.html/2020/races/1048/great-britain/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1048/great-britain/race-result.html","16","8","Romain
                    Grosjean
                    GRO","Haas Ferrari","null","null","52"
"1601159347-2439","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Hungary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1047/hungary/practice-2.html","19","23","Alexander
                    Albon
                    ALB","Red Bull Racing Honda","","","3"
"1601159206-1683","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Italy","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-2.html","15","3","Daniel
                    Ricciardo
                    RIC","Renault","1:22.080","+1.888s","29"
"1601159362-2540","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Hungary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/pit-stop-summary.html","null","3","Daniel
                    Ricciardo
                    RIC","Renault","22.073","null","null"
"1601159288-2127","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","70th Anniversary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-2.html","8","4","Lando
                    Norris
                    NOR","McLaren Renault","1:26.867","+1.261s","26"
"1601159362-2518","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Hungary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/pit-stop-summary.html","null","99","Antonio
                    Giovinazzi
                    GIO","Alfa Romeo Racing Ferrari","22.283","null","null"
"1601159311-2261","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","70th Anniversary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/race-result.html","1","33","Max
                    Verstappen
                    VER","Red Bull Racing Honda","null","null","52"
"1601159197-1642","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Tuscany","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-1.html","Fastest laps","https://www.formula1.com/en/results.html/2020/races/1053/italy/fastest-laps.html","12","18","Lance
                    Stroll
                    STR","Racing Point BWT Mercedes","1:22.068","null","null"
"1601159161-1414","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Russia","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-2.html","10","5","Sebastian
                    Vettel
                    VET","Ferrari","1:35.183","+1.664s","35"
"1601159304-2227","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","70th Anniversary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/pit-stop-summary.html","null","23","Alexander
                    Albon
                    ALB","Red Bull Racing Honda","27.858","null","null"
"1601159304-2230","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","70th Anniversary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/pit-stop-summary.html","null","77","Valtteri
                    Bottas
                    BOT","Mercedes","28.188","null","null"
"1601159293-2156","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","70th Anniversary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-1.html","Practice 3","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-3.html","17","63","George
                    Russell
                    RUS","Williams Mercedes","1:28.349","+1.728s","17"
"1601159161-1407","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Russia","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-2.html","3","3","Daniel
                    Ricciardo
                    RIC","Renault","1:34.577","+1.058s","27"
"1601159252-1955","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1051/belgium/race-result.html","11","26","Daniil
                    Kvyat
                    KVY","AlphaTauri Honda","null","null","44"
"1601159261-1966","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Spain","https://www.formula1.com/en/results.html/2020/races/1050/spain/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1050/spain/practice-2.html","2","77","Valtteri
                    Bottas
                    BOT","Mercedes","1:17.170","+0.287s","38"
"1601159199-1660","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Tuscany","https://www.formula1.com/en/results.html/2020/races/1053/italy/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1053/italy/race-result.html","12","8","Romain
                    Grosjean
                    GRO","Haas Ferrari","null","null","59"
"1601159164-1435","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Russia","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-1.html","Practice 3","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-3.html","11","10","Pierre
                    Gasly
                    GAS","AlphaTauri Honda","1:34.792","+1.513s","12"
"1601159288-2120","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","70th Anniversary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-2.html","1","44","Lewis
                    Hamilton
                    HAM","Mercedes","1:25.606","","22"
"1601159226-1820","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Italy","https://www.formula1.com/en/results.html/2020/races/1052/italy/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1052/italy/race-result.html","15","23","Alexander
                    Albon
                    ALB","Red Bull Racing Honda","null","null","53"
"1601159276-2049","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Spain","https://www.formula1.com/en/results.html/2020/races/1050/spain/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1050/spain/pit-stop-summary.html","null","10","Pierre
                    Gasly
                    GAS","AlphaTauri Honda","22.241","null","null"
"1601159161-1416","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Russia","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1054/russia/practice-2.html","12","23","Alexander
                    Albon
                    ALB","Red Bull Racing Honda","1:35.242","+1.723s","31"
"1601159304-2229","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","70th Anniversary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1049/great-britain/pit-stop-summary.html","null","33","Max
                    Verstappen
                    VER","Red Bull Racing Honda","28.986","null","null"
"1601159347-2440","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Hungary","https://www.formula1.com/en/results.html/2020/races/1047/hungary/practice-1.html","Practice 2","https://www.formula1.com/en/results.html/2020/races/1047/hungary/practice-2.html","20","20","Kevin
                    Magnussen
                    MAG","Haas Ferrari","","","1"
"1601159283-2114","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Spain","https://www.formula1.com/en/results.html/2020/races/1050/spain/practice-1.html","Race result","https://www.formula1.com/en/results.html/2020/races/1050/spain/race-result.html","15","20","Kevin
                    Magnussen
                    MAG","Haas Ferrari","null","null","65"
"1601159246-1909","https://www.formula1.com/en/results.html/2020/races/1045/austria/practice-1.html","Belgium","https://www.formula1.com/en/results.html/2020/races/1051/belgium/practice-1.html","Pit stop summary","https://www.formula1.com/en/results.html/2020/races/1051/belgium/pit-stop-summary.html","null","20","Kevin
                    Magnussen
                    MAG","Haas Ferrari","26.156","null","null"
